per_of_RERERETE_semantics_0,seq_of_RERERETE_semantics_0,per_of_RERERETE_semantics_1,seq_of_RERERETE_semantics_1,per_of_RERERETE_semantics_2,seq_of_RERERETE_semantics_2,per_of_RERERETE_semantics_3,seq_of_RERERETE_semantics_3,per_of_RERERETE_semantics_4,seq_of_RERERETE_semantics_4,per_of_RERERETE_kwg_0,seq_of_RERERETE_kwg_0,per_of_RERERETE_kwg_1,seq_of_RERERETE_kwg_1,per_of_RERERETE_kwg_2,seq_of_RERERETE_kwg_2,per_of_RERERETE_kwg_3,seq_of_RERERETE_kwg_3,per_of_RERERETE_kwg_4,seq_of_RERERETE_kwg_4,per_of_RERERETE_SIR_0,seq_of_RERERETE_SIR_0,per_of_RERERETE_SIR_1,seq_of_RERERETE_SIR_1,per_of_RERERETE_SIR_2,seq_of_RERERETE_SIR_2,per_of_RERERETE_SIR_3,seq_of_RERERETE_SIR_3,per_of_RERERETE_SIR_4,seq_of_RERERETE_SIR_4,per_of_RNormalTranslation_semantics_0,seq_of_RNormalTranslation_semantics_0,per_of_RNormalTranslation_kwg_0,seq_of_RNormalTranslation_kwg_0,per_of_RNormalTranslation_sir_0,seq_of_RNormalTranslation_sir_0,per_of_RPivotTranslation_semantics_0,seq_of_RPivotTranslation_semantics_0,per_of_RPivotTranslation_kwg_0,seq_of_RPivotTranslation_kwg_0,per_of_RPivotTranslation_sir_0,seq_of_RPivotTranslation_sir_0
22.842859268188477,124,44.76555633544922,107,24.63382339477539,125,29.164508819580078,181,23.211820602416992,143,34.15309524536133,271,18.129013061523438,322,22.89366912841797,246,20.027185440063477,290,18.907533645629883,286,98.86343383789062,49,25.6024112701416,44,33.68083190917969,60,69.63475036621094,41,42.06678771972656,56,25.51767921447754,179,110.4066390991211,308,13.339652061462402,61,22.350963592529297,199,39.187801361083984,244,25.694049835205078,164
101.38648986816406,98,51.7429313659668,113,54.226348876953125,103,21.403587341308594,132,49.662864685058594,115,41.22830581665039,233,33.6305046081543,297,46.65835952758789,218,23.088836669921875,289,46.17483139038086,244,20.25261878967285,431,70.69602966308594,376,21.403587341308594,455,33.15883255004883,326,21.403587341308594,425,31.195510864257812,157,24.609437942504883,295,41.90489196777344,514,37.32312774658203,199,43.458251953125,188,57.55069351196289,185
37.46299743652344,99,15.696084976196289,102,36.890201568603516,107,22.53499984741211,203,22.98485565185547,155,36.411109924316406,184,15.371282577514648,292,29.973642349243164,189,25.536149978637695,212,36.411109924316406,192,25.311012268066406,49,46.78575134277344,53,23.147811889648438,83,50.8353385925293,54,23.147811889648438,58,27.363801956176758,325,44.0291862487793,294,32.845306396484375,75,37.89998245239258,243,43.105350494384766,239,31.195749282836914,246
12.719571113586426,217,40.570068359375,192,11.8770751953125,236,24.74906349182129,295,14.471540451049805,251,14.831538200378418,169,16.267959594726562,187,17.467430114746094,153,18.299007415771484,176,13.22457504272461,174,16.267959594726562,112,24.131858825683594,77,19.96751594543457,141,15.791426658630371,72,20.83924102783203,119,39.77043533325195,313,43.916725158691406,297,51.4831657409668,146,25.54133415222168,249,33.70791244506836,242,33.70791244506836,156
46.28217315673828,163,136.29103088378906,130,46.28217315673828,173,63.10726547241211,212,63.10726547241211,186,78.1795654296875,181,40.4268684387207,332,105.2659912109375,162,83.49852752685547,249,75.99445343017578,195,21.126190185546875,263,21.14452362060547,230,65.58041381835938,343,114.91883087158203,225,32.58697509765625,302,180.19091796875,312,216.4829864501953,275,171.22128295898438,411,361.0020446777344,232,171.2598876953125,215,156.35845947265625,223
8.446133613586426,86,8.446133613586426,84,8.446133613586426,93,6.296433448791504,127,6.296433448791504,123,15.08492660522461,163,13.643229484558105,229,15.08492660522461,148,17.688560485839844,211,15.08492660522461,179,13.186284065246582,78,13.186284065246582,73,5.822424411773682,88,13.186284065246582,69,5.822424411773682,91,17.922725677490234,125,10.698131561279297,240,24.870359420776367,106,14.368959426879883,175,9.32327651977539,174,9.32327651977539,294
79.45957946777344,115,81.5682144165039,113,80.55109405517578,116,43.14635467529297,194,90.82521057128906,124,46.956111907958984,192,67.59676361083984,253,50.66480255126953,168,42.01545715332031,213,46.956111907958984,198,31.590917587280273,50,52.490142822265625,46,36.738426208496094,56,44.66618347167969,45,17.997406005859375,54,36.29945755004883,303,29.230409622192383,277,31.008047103881836,66,43.32297897338867,214,34.26763916015625,219,21.34312629699707,210
59.10934829711914,204,115.22093963623047,212,23.47370147705078,215,7.596334457397461,303,20.1308650970459,265,50.947669982910156,153,13.625791549682617,211,29.44734001159668,146,20.63430404663086,179,58.13971710205078,148,41.787357330322266,246,62.35580825805664,228,8.36578369140625,387,133.9130401611328,219,30.19610595703125,275,14.405505180358887,304,32.63225555419922,241,32.63225555419922,477,90.95362854003906,203,32.63225555419922,225,32.63225555419922,245
8.751381874084473,172,8.751381874084473,156,9.512748718261719,186,8.007091522216797,223,9.512748718261719,197,12.565534591674805,192,11.331558227539062,273,11.803886413574219,106,14.845541000366211,238,14.972695350646973,209,8.751381874084473,92,12.93310260772705,86,8.007091522216797,107,12.93310260772705,89,8.751381874084473,94,28.33922576904297,314,18.183340072631836,309,8.007091522216797,94,14.923097610473633,254,20.712495803833008,255,18.183340072631836,239
30.124635696411133,189,21.695478439331055,180,30.94028663635254,201,49.88044738769531,268,60.251441955566406,243,41.03323745727539,189,65.8062973022461,275,27.661022186279297,187,45.570133209228516,245,36.539249420166016,202,54.16273880004883,353,60.251441955566406,293,50.221519470214844,419,64.39068603515625,205,54.16273880004883,381,68.31524658203125,300,58.48659896850586,294,118.88495635986328,464,57.851036071777344,256,91.98995971679688,209,126.84575653076172,222
