index,per_of_cn_semantics_0,seq_of_cn_semantics_0,per_of_cn_kwg_0,seq_of_cn_kwg_0,per_of_cn_sir_0,seq_of_cn_sir_0,per_of_en_semantics_0,seq_of_en_semantics_0,per_of_en_kwg_0,seq_of_en_kwg_0,per_of_en_sir_0,seq_of_en_sir_0,per_of_RecursivePara_semantics_0,seq_of_RecursivePara_semantics_0,per_of_RecursivePara_semantics_1,seq_of_RecursivePara_semantics_1,per_of_RecursivePara_semantics_2,seq_of_RecursivePara_semantics_2,per_of_RecursivePara_semantics_3,seq_of_RecursivePara_semantics_3,per_of_RecursivePara_semantics_4,seq_of_RecursivePara_semantics_4,per_of_RecursivePara_kwg_0,seq_of_RecursivePara_kwg_0,per_of_RecursivePara_kwg_1,seq_of_RecursivePara_kwg_1,per_of_RecursivePara_kwg_2,seq_of_RecursivePara_kwg_2,per_of_RecursivePara_kwg_3,seq_of_RecursivePara_kwg_3,per_of_RecursivePara_kwg_4,seq_of_RecursivePara_kwg_4,per_of_RecursivePara_SIR_0,seq_of_RecursivePara_SIR_0,per_of_RecursivePara_SIR_1,seq_of_RecursivePara_SIR_1,per_of_RecursivePara_SIR_2,seq_of_RecursivePara_SIR_2,per_of_RecursivePara_SIR_3,seq_of_RecursivePara_SIR_3,per_of_RecursivePara_SIR_4,seq_of_RecursivePara_SIR_4,per_of_PivotTranslation_semantics_0,seq_of_PivotTranslation_semantics_0,per_of_PivotTranslation_kwg_0,seq_of_PivotTranslation_kwg_0,per_of_PivotTranslation_sir_0,seq_of_PivotTranslation_sir_0,per_of_NormalTranslation_semantics_0,seq_of_NormalTranslation_semantics_0,per_of_NormalTranslation_kwg_0,seq_of_NormalTranslation_kwg_0,per_of_NormalTranslation_sir_0,seq_of_NormalTranslation_sir_0,per_of_inputs_cn_0,seq_of_inputs_cn_0,per_of_inputs_en_0,seq_of_inputs_en_0
13,14.161473274230955,576,15.048456192016602,551,15.048456192016602,351,67.76070404052734,348,19.762836456298828,321,19.762836456298828,153,19.28815078735352,224,11.81865119934082,194,11.968978881835938,247,36.86129379272461,300,22.152814865112305,251,20.037084579467773,172,30.26366806030273,194,21.95267105102539,151,20.037084579467773,179,21.95267105102539,172,34.317386627197266,113,36.1449089050293,76,35.157108306884766,145,46.16168975830078,72,30.26366806030273,121,19.96751594543457,264,31.190031051635746,262,31.190031051635746,168,39.77043533325195,345,31.190031051635746,324,31.190031051635746,151,15.048456192016602,552,19.762836456298828,361
14,22.54251289367676,578,22.54251289367676,571,22.54251289367676,550,24.37372589111328,370,16.912452697753906,384,16.912452697753906,500,35.20058822631836,173,48.317718505859375,133,34.33283996582031,182,67.08537292480469,228,67.08537292480469,196,166.79356384277344,198,65.28052520751953,329,209.8409118652344,181,79.58208465576172,261,78.46568298339844,200,26.539609909057617,267,38.79224395751953,232,74.20537567138672,342,41.16541290283203,228,32.92634963989258,301,456.7013549804688,320,52.58735656738281,259,52.58735656738281,261,52.58735656738281,354,52.58735656738281,368,52.58735656738281,487,22.54251289367676,571,16.912452697753906,384
15,15.443756103515623,391,14.397075653076172,378,14.397075653076172,383,25.96857643127441,127,8.183496475219727,291,8.183496475219727,122,15.707240104675291,83,25.503217697143555,84,14.252680778503418,86,27.76804542541504,113,13.31138515472412,114,22.930498123168945,173,20.404281616210938,238,23.78423118591309,152,37.3499641418457,222,24.94555282592773,189,24.987462997436523,83,35.80326843261719,78,15.03586769104004,91,29.307825088500977,76,11.271035194396973,94,6.296433448791504,189,6.296433448791504,193,6.296433448791504,300,6.296433448791504,133,6.296433448791504,286,6.296433448791504,123,14.397075653076172,378,8.183496475219727,132
16,93.70929718017578,531,45.7822265625,513,45.7822265625,468,131.09829711914062,345,67.7835464477539,353,67.7835464477539,64,152.38526916503906,116,129.92503356933594,113,186.82960510253903,127,84.6113052368164,201,49.53734588623047,134,116.76332092285156,186,65.23245239257812,275,63.41071701049805,177,52.72115707397461,223,47.18121719360352,202,46.36728286743164,52,102.4999008178711,50,37.55098342895508,60,98.6768798828125,53,22.79690170288086,56,32.82021713256836,229,21.34312629699707,250,21.34312629699707,220,26.973485946655277,345,21.34312629699707,331,21.34312629699707,71,45.7822265625,512,67.7835464477539,353
17,18.30059051513672,534,14.292644500732422,513,14.292644500732422,516,30.13633728027344,362,20.42761993408203,275,20.42761993408203,550,88.22643280029297,199,108.52610778808594,195,49.438087463378906,210,37.70264434814453,293,60.473270416259766,254,65.38526916503906,165,38.26373672485352,216,44.43400955200195,158,36.77257537841797,178,88.23555755615234,167,70.16133117675781,256,54.98941040039063,238,24.935392379760746,422,54.86691284179688,224,42.11629486083984,280,54.86037063598633,242,18.636743545532227,253,18.636743545532227,264,18.636743545532227,354,18.636743545532227,269,18.636743545532227,531,14.292644500732422,513,20.42761993408203,367
18,15.565075874328612,644,11.3173189163208,613,11.3173189163208,550,50.43698120117188,352,9.509547233581545,358,9.509547233581545,100,34.19676208496094,156,34.19676208496094,146,40.48555755615234,162,48.23866653442383,211,40.48555755615234,175,25.760007858276367,198,32.5152587890625,294,32.41450500488281,121,62.41887664794922,257,26.73587226867676,213,21.91227149963379,84,24.85232925415039,80,28.627077102661133,86,22.64787101745605,80,22.27479362487793,84,7.210014343261719,263,8.751381874084473,269,8.751381874084473,247,14.642598152160645,349,8.751381874084473,366,8.007091522216797,99,11.3173189163208,612,9.509547233581545,358
19,9.53868007659912,559,9.53868007659912,534,9.53868007659912,507,33.885684967041016,353,17.298507690429688,355,21.58460807800293,549,53.654415130615234,194,74.11209869384766,186,20.693532943725582,205,37.30348587036133,284,37.30348587036133,251,30.27618789672852,222,34.884620666503906,309,34.42043685913086,210,18.74086570739746,271,50.03641128540039,217,34.884620666503906,363,34.884620666503906,307,21.58460807800293,410,20.11267471313477,227,34.884620666503906,385,36.86912536621094,268,58.48659896850586,236,63.439903259277344,237,50.10398864746094,345,58.48659896850586,356,39.16977310180664,523,9.53868007659912,534,17.298507690429688,355
20,9.091537475585938,544,9.091537475585938,519,9.091537475585938,336,54.129844665527344,338,21.744264602661133,353,21.744264602661133,167,92.46910095214844,138,119.72429656982422,118,65.50503540039062,151,46.318302154541016,248,81.20606231689453,152,40.9283332824707,196,23.591264724731445,291,75.36539459228516,174,52.38857269287109,238,35.13421630859375,214,58.257022857666016,134,89.66883850097656,126,45.294708251953125,156,41.7418212890625,109,42.8412971496582,145,30.882740020751957,229,22.839374542236328,250,22.839374542236328,151,23.5903434753418,317,22.839374542236328,336,22.839374542236328,161,9.091537475585938,519,21.744264602661133,353
21,13.323482513427734,592,13.40415382385254,556,13.40415382385254,392,27.697359085083008,356,8.173785209655762,352,8.173785209655762,143,49.5732421875,189,70.51547241210938,149,29.281328201293945,207,17.225662231445312,288,23.19219970703125,254,25.83640480041504,173,50.287574768066406,289,34.51022720336914,168,29.112266540527344,244,33.080081939697266,179,156.9329376220703,72,123.79971313476562,80,33.26432037353516,109,95.7467803955078,70,31.053850173950195,106,17.57850456237793,242,10.435995101928713,266,17.57850456237793,171,15.774435997009276,354,10.435995101928713,332,17.57850456237793,138,13.40415382385254,556,8.173785209655762,364
22,9.53868007659912,611,9.53868007659912,603,9.53868007659912,549,39.78217315673828,369,37.819366455078125,375,39.78217315673828,377,51.9752197265625,133,65.15691375732422,128,51.9752197265625,151,98.67137908935548,331,69.9729232788086,282,140.2296142578125,222,163.96644592285156,322,140.2296142578125,222,140.2296142578125,269,140.2296142578125,225,150.53826904296875,266,150.53826904296875,260,97.99249267578124,331,160.72821044921875,227,66.76417541503906,280,98.94922637939452,375,71.67390441894531,378,36.159088134765625,242,142.80970764160156,346,71.67390441894531,361,115.75051879882812,359,9.53868007659912,603,37.819366455078125,375
